SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ieo_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
211051283,Mount Evelyn,36,9723,681,79.10809699958898,4.4,0.0018512804689910522,16.2,0.26581356000000134,12.0,1006,34.4,31.9,0.296,1,211051283
212011291,Pakenham - North,30,18602,682,77.75944907110826,6.7,0.0021503064186646596,22.1,0.26506615,17.5,945,20.1,44.1,0.0,1,212011291
211051282,Mount Dandenong - Olinda,43,9654,720,79.09672830725462,4.1,0.0013465920861818936,14.2,0.316403660000002,10.6,1111,44.7,32.1,0.27987368421052633,57,211051282
211051281,Mooroolbark,35,22065,687,78.62555446032529,5.2,0.0035350101971447995,15.4,0.285984700000002,11.9,992,23.3,37.2,0.08457142857142856,7,211051281
211051280,Montrose,40,6795,694,79.23203963666391,4.1,0.0014716703458425313,13.0,0.2714463800000003,9.6,1014,31.2,30.2,-0.05553750000000001,8,211051280
211051279,Monbulk - Silvan,42,5634,637,78.87809616318602,3.4,0.0007099751508697196,14.3,0.27950490000000133,10.6,1016,34.6,32.7,-0.17,2,211051279
211051278,Lilydale - Coldstream,39,18720,665,78.67968353052188,4.6,0.002297008547008547,15.7,0.2799247200000015,11.9,983,23.6,33.0,0.16562222222222223,18,211051278
211051277,Kilsyth,39,9168,661,78.65338164251207,4.3,0.0015270506108202443,14.8,0.27579844,11.8,974,26.0,32.2,0.0,2,211051277
211051276,Healesville - Yarra Glen,43,13709,620,78.9073998364677,4.4,0.005106134656065358,15.7,0.2964215300000003,12.5,995,36.2,32.2,0.2117349514563107,103,211051276
211051275,Chirnside Park,39,9850,686,79.19972918077184,4.3,0.0006091370558375635,13.3,0.27899307,9.9,1005,22.9,32.8,0.21817999999999999,5,211051275
211051274,Belgrave - Selby,39,10018,724,78.70910090734121,4.7,0.003992812936713915,13.3,0.3043371,9.6,1063,46.0,32.9,0.14122,30,211051274
211041271,Nunawading,38,11904,668,77.14887320737537,5.5,0.003528225806451613,13.8,0.3124161700000024,11.8,1074,32.4,44.3,0.0011399999999999993,20,211041271
211041273,Vermont South,44,11685,587,77.62205247426104,6.8,0.001797175866495507,12.7,0.3321588300000015,11.5,1067,32.8,35.6,0.1977125,8,211041273
211041272,Vermont,39,10474,684,77.83540169823645,5.3,0.00171854114951308,13.7,0.307485580000002,11.0,1078,36.7,38.5,0.0,1,211041272
211041270,Mitcham (Vic.),37,16128,749,77.59624876604146,5.5,0.003472222222222222,12.6,0.30769712,10.4,1083,35.8,43.1,0.081175,4,211041270
211041269,Forest Hill,41,10636,578,76.951811729548,6.7,0.0034787514103046258,15.2,0.320814670000003,14.0,1055,34.6,39.1,0.18589285714285714,14,211041269
211031263,Bayswater North,36,11794,710,78.19084326092035,5.0,0.0024588773952857385,15.9,0.2720219000000003,11.5,993,23.7,31.2,0.148,6,211031263
211031451,Croydon - West,40,13365,646,78.37914595800791,5.4,0.003666292555181444,15.5,0.3022877600000015,12.4,1026,27.1,39.6,0.0,1,211031451
211031450,Croydon - East,37,15206,693,77.82706699125417,5.2,0.00381428383532816,18.0,0.2883278700000024,14.7,1006,24.7,44.8,0.4455571428571429,35,211031450
211021262,Warrandyte - Wonga Park,43,10049,771,79.8683849739512,4.6,0.0028858592894815405,9.9,0.3485808000000018,7.1,1093,34.2,23.7,0.2056909090909091,11,211021262
211021261,Donvale - Park Orchards,43,15893,701,78.99710539758216,4.5,0.0007550493928144466,11.9,0.3599177000000015,9.7,1093,30.1,30.0,0.0,2,211021261
211011449,The Basin,38,4266,718,78.66131621187802,5.0,0.0,12.5,0.27464643,9.4,1011,39.1,35.5,0.0,2,211011449
211031268,Ringwood North,41,9557,732,79.11726896157691,4.7,0.00041854138327927174,11.5,0.3143603800000025,8.4,1085,28.9,29.2,0.07828571428571429,7,211031268
211031267,Ringwood East,39,20252,701,78.18672059319178,5.2,0.00306142603199684,14.2,0.29976216000000133,11.1,1059,30.8,40.7,-0.06193333333333332,12,211031267
211011448,Ferntree Gully (South) - Upper Ferntree Gully,38,14584,670,78.4698510715583,5.5,0.0007542512342292924,14.2,0.2714873900000013,11.0,1000,25.0,33.4,0.1755,10,211011448
211031266,Ringwood,37,17179,652,77.16269528167904,6.9,0.005471796961406368,18.1,0.3051879000000015,15.7,1033,29.2,48.2,0.1629185714285714,140,211031266
211031265,Croydon Hills - Warranwood,38,18001,747,79.10704921716983,4.3,0.0007221821009943892,10.6,0.29316372,7.6,1061,30.4,31.4,-0.1759,1,211031265
211011447,Ferntree Gully (North),39,13872,658,77.94338532640093,5.8,0.004829873125720877,14.6,0.2817348,12.1,994,27.1,33.9,0.24383461538461537,26,211011447
211011446,Boronia,39,22118,657,77.68687606525444,5.8,0.005063748982728999,17.0,0.2715048000000003,13.6,993,28.0,36.1,0.2782925925925926,27,211011446
211011256,Rowville - Central,37,15196,688,78.14113451086956,5.5,0.0007238747038694393,13.7,0.2965927000000003,11.5,1026,21.8,30.4,0.1147,4,211011256
